name,vol,tone,neck,middle,bridge,split
New-6,11.0,11.0,False,False,True,False
Default,11.0,11.0,False,False,True,False
jazz,10,8,True,False,True,True
rock,10,10,False,False,True,False
New-4,11.0,11.0,False,False,True,False
New-5,11.0,11.0,False,False,True,False
mellow,5,5,False,True,False,False
New-7,11.0,11.0,False,False,True,False
New-0,7.0,0.0,False,True,False,False
New-1,11.0,11.0,False,False,True,False
New-2,11.0,11.0,False,False,True,False
New-3,11.0,11.0,False,False,True,False
